term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,scale,sample,n,label
era_4079,-1.3461287596980007,0.2063457995023796,-6.523654772446565,8.49083026110975e-11,-1.7507821249232254,-0.9414753944727761,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Built 1940-1979 (vs 2000+)
era_8099,-3.1493139512472426,0.2268106213302881,-13.885213720485876,0.0,-3.5940997497052662,-2.704528152789219,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Built 1980-1999 (vs 2000+)
era_unknown,5.176113013205521,2.2661161508388763,2.2841340287387366,0.02245869967933256,0.7321576303502031,9.620068396060839,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Construction year unknown
mzone,0.19881052493618726,0.5781591828735215,0.3438681436279793,0.7309783712376501,-0.9349855569314186,1.3326066068037932,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Manufacturing zoning
multi_bldg,0.07153717759633936,0.08731200614071347,0.8193280713427757,0.412688170051827,-0.09968558145477348,0.2427599366474522,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Multiple buildings on lot
com_class,-4.810882773709539,0.5938097768850699,-8.10172375225252,8.881784197001252e-16,-5.97537037219546,-3.646395175223619,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Commercial/mixed building class (S/K/O)
log_bldgarea,9.794893038153795,0.754945529835244,12.974304305492595,0.0,8.314411002918332,11.275375073389258,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Log total floor area
log2_area_per_unit,-3.4254132085252738,0.5245935566763574,-6.5296516987884905,8.163958398199611e-11,-4.454164695575097,-2.396661721475451,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Floor area per unit (per doubling)
value_rank,-2.2426052545181157,0.29836429774851037,-7.516332454791208,8.149037000748649e-14,-2.8277110208489846,-1.6574994881872467,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Assessed value rank within type (0-1)
any_prior_viol,7.454215948288085,0.13994828600144094,53.26407461832962,0.0,7.17977108425618,7.72866081231999,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Any violation 2010-2019
llc,0.1893389605351535,0.30287233485700693,0.6251444544267961,0.5319414439878862,-0.40460846628612834,0.7832863873564354,cond_violrate,violations per inspection (pp),pp,inspected,135576,LLC owner (vs individual)
corp_other,0.9152488291461606,0.40435336615852707,2.2634875971017303,0.023703221967223298,0.1222921483394831,1.7082055099528382,cond_violrate,violations per inspection (pp),pp,inspected,135576,Corporate/org owner (vs individual)
trust_estate,0.09148801877415261,0.6081896741743054,0.15042678733136863,0.8804417740270063,-1.1012016079150888,1.2841776454633942,cond_violrate,violations per inspection (pp),pp,inspected,135576,Trust/estate owner (vs individual)
