geo,month,active_jobs,monitoring_events,monitoring_per_100_jobs,ecb_site_safety,ecb_cranes,idx_active_jobs_2020avg100,idx_monitoring_2020avg100
Brooklyn,2024-06,27136,321,1.1829304245283019,10,2,647.5599570456986,87.88501026694045
Brooklyn,2024-07,27781,404,1.4542313091681365,6,3,662.9519150459372,110.60917180013689
Brooklyn,2024-08,28306,525,1.854730445841871,2,9,675.4802529531082,143.73716632443532
Brooklyn,2024-09,28599,247,0.8636665617678939,9,11,682.4722586803484,67.6249144421629
Brooklyn,2024-10,28776,301,1.0460105643591882,7,6,686.6960983176232,82.40930869267625
Brooklyn,2024-11,28780,233,0.8095899930507297,5,4,686.7915523207255,63.79192334017796
Brooklyn,2024-12,28810,251,0.8712252690038181,2,4,687.5074573439923,68.72005475701575
Brooklyn,2025-01,28849,326,1.1300218378453326,7,2,688.4381338742394,89.2539356605065
Brooklyn,2025-02,28498,390,1.3685170889185205,12,8,680.0620451020164,106.77618069815196
Brooklyn,2025-03,28799,455,1.5799159693044895,14,6,687.2449588354611,124.57221081451063
Brooklyn,2025-04,28686,445,1.5512793697273932,8,8,684.5483832478225,121.83436002737851
Brooklyn,2025-05,28563,371,1.2988831705353079,16,4,681.6131726524281,101.57426420260096
Brooklyn,2025-06,28611,272,0.9506833036244802,10,2,682.7586206896551,74.46954140999316
Brooklyn,2025-07,28962,385,1.3293280850769975,12,3,691.1347094618781,105.4072553045859
Brooklyn,2025-08,28792,376,1.3059183106418448,11,1,687.0779143300323,102.94318959616702
Brooklyn,2025-09,28802,375,1.3019929171585307,15,10,687.3165493377878,102.66940451745378
Brooklyn,2025-10,28707,347,1.2087644128609747,8,10,685.0495167641093,95.00342231348392
Brooklyn,2025-11,28376,433,1.525937411897378,4,1,677.1506980073978,118.54893908281998
Brooklyn,2025-12,28336,588,2.075098814229249,9,4,676.1961579763752,160.98562628336757
Brooklyn,2026-01,27669,426,1.5396291878998156,21,7,660.279202959074,116.6324435318275
Brooklyn,2026-02,26993,353,1.3077464527840552,10,1,644.147476434793,96.64613278576317
Brooklyn,2026-03,27024,432,1.5985790408525755,10,9,644.8872449588355,118.27515400410678
Brooklyn,2026-04,26346,383,1.4537311166780535,1,0,628.7077914330032,104.85968514715948
Brooklyn,2026-05,25700,327,1.272373540856031,0,0,613.291969931989,89.5277207392197
Queens,2020-01,633,527,83.25434439178515,37,6,21.14405010438413,247.41784037558685
Queens,2020-02,1259,310,24.622716441620334,27,5,42.05427974947808,145.53990610328637
Queens,2020-03,1733,261,15.060588574725909,25,3,57.88726513569937,122.53521126760563
Queens,2020-04,1796,66,3.6748329621380846,5,4,59.99164926931107,30.985915492957744
Queens,2020-05,1940,75,3.865979381443299,8,7,64.8016701461378,35.2112676056338
Queens,2020-06,2527,128,5.065294815987337,15,11,84.40918580375782,60.093896713615024
Queens,2020-07,3130,172,5.49520766773163,15,8,104.55114822546973,80.75117370892019
Queens,2020-08,3698,195,5.273120605732828,21,11,123.5240083507307,91.54929577464789
Queens,2020-09,4267,233,5.460510897586126,32,2,142.5302713987474,109.38967136150235
Queens,2020-10,4693,214,4.559982953334754,16,2,156.75991649269312,100.46948356807512
Queens,2020-11,5026,177,3.5216872264226025,23,6,167.8830897703549,83.09859154929578
Queens,2020-12,5223,198,3.790924755887421,19,3,174.46346555323592,92.95774647887323
Queens,2021-01,5531,254,4.592297956969806,26,2,184.7515657620042,119.24882629107981
Queens,2021-02,5790,184,3.177892918825561,10,2,193.40292275574114,86.3849765258216
Queens,2021-03,6297,298,4.732412259806257,16,7,210.33820459290186,139.90610328638496
Queens,2021-04,6830,198,2.898975109809663,7,5,228.1419624217119,92.95774647887323
Queens,2021-05,7347,242,3.293861440043555,20,4,245.41127348643008,113.6150234741784
Queens,2021-06,7963,670,8.413914353886726,35,8,265.9874739039666,314.55399061032864
Queens,2021-07,8686,610,7.022795302786093,51,12,290.1377870563674,286.38497652582157
Queens,2021-08,9291,346,3.7240340114088903,23,2,310.3465553235908,162.4413145539906
Queens,2021-09,9896,234,2.364591754244139,25,2,330.5553235908142,109.85915492957747
Queens,2021-10,10711,259,2.4180748762953974,29,5,357.7787056367432,121.59624413145539
Queens,2021-11,11207,249,2.2218256446863567,24,9,374.34655532359085,116.90140845070422
Queens,2021-12,11699,305,2.6070604325155995,31,4,390.78079331941547,143.19248826291079
Queens,2022-01,11955,239,1.999163529903806,18,3,399.3319415448852,112.20657276995306
Queens,2022-02,12293,211,1.7164239811274709,11,0,410.6221294363257,99.06103286384976
Queens,2022-03,12905,402,3.1150716776443237,37,6,431.06471816283926,188.73239436619718
Queens,2022-04,13343,304,2.2783481975567716,23,9,445.6951983298539,142.72300469483568
Queens,2022-05,13784,420,3.0470110272780038,25,5,460.4258872651357,197.1830985915493
