word,z,n_large,n_small
animal,-3.1406575236760705,59,291
towing,-3.1374688357604974,2,60
withno,-3.1321664886294323,9,85
twofamily,-3.1301513345465697,1,73
corrective,-3.1255243585844976,16,116
landmarked,-3.121551001206156,4,63
ticketed,-3.121551001206156,4,63
toyota,-3.115961780398458,1,72
view,-3.110367686668585,114,496
green,-3.0951064468801444,92,414
individually,-3.0890019400886226,5,66
shady,-3.0890019400886226,5,66
girl,-3.0794449164332804,17,119
mattresse,-3.0793782772464744,8,79
condemned,-3.077880279198252,6,70
sleeping,-3.0700096677208726,80,368
solar,-3.0634994527377275,13,101
think,-3.0590373515297524,240,943
event,-3.057958098176682,93,416
lowered,-3.0544151378070383,5,65
illegaly,-3.0544151378070383,5,65
squatting,-3.0544151378070383,5,65
mosquito,-3.0544151378070383,5,65
inche,-3.0519290347282126,120,515
post,-3.0481593611429028,76,352
cord,-3.0477642432316747,35,193
lanlord,-3.0265076049493556,1,66
racoon,-3.022339986270744,4,60
ice,-3.0192307356942787,34,188
entry,-3.0159282644439602,106,462
neighboringproperty,-3.006667886906758,8,77
doingconstruction,-3.0002846026568357,22,138
spilling,-2.9881854737507996,4,59
mexican,-2.9836602762116216,5,63
install,-2.981851549696199,110,475
hatch,-2.9787179089603173,1,63
community,-2.97527871761855,174,705
mark,-2.9741708352878815,21,133
deep,-2.9733433379205167,55,269
ineffect,-2.9714860337232842,12,94
reconstruction,-2.969635190918348,8,76
woodside,-2.9696315484206437,6,67
beingdone,-2.9622991573039936,41,214
protective,-2.9596648599262876,58,280
thecellar,-2.953459078675971,4,58
catering,-2.951558669210137,7,71
range,-2.934812601387578,12,93
picture,-2.9329305572186524,164,667
booking,-2.932280077942941,40,209
knock,-2.9294766614335996,37,197
livingin,-2.914165561348723,11,88
jefferson,-2.9113676719538364,1,59
landlady,-2.9113676719538364,1,59
myrtle,-2.910688583499305,5,61
iron,-2.8993949293364425,33,180
overflowing,-2.894158693386284,8,74
undocumented,-2.8941140548719653,10,83
gray,-2.892622084515449,15,105
isillegal,-2.8733279027624063,5,60
thrown,-2.8727108870185587,39,203
bearing,-2.8688225325776537,14,100
streeteasy,-2.8603512990477817,12,91
honda,-2.8566064344169155,6,64
shifted,-2.856030905207322,10,82
nearby,-2.85517292364754,115,487
sidedoor,-2.843071363576799,0,779
chemical,-2.8430449303113705,148,605
displayed,-2.8412777635835997,69,317
thefront,-2.838616573909137,11,86
loading,-2.83815032504376,21,129
postedpermit,-2.836094914629968,9,77
conform,-2.835359140158013,5,59
hide,-2.8303758601463667,58,275
mud,-2.8225486364712546,12,90
sodium,-2.8210864461229157,0,767
connection,-2.815978206390764,49,240
link,-2.80828563836765,47,232
isbeing,-2.808069886421723,35,185
ring,-2.806939187451908,32,173
destroying,-2.803551031915486,21,128
brought,-2.7998639301641663,74,334
bbl,-2.7967625307763604,5,58
received,-2.7810573613481977,126,523
filing,-2.7757735539005677,74,333
caving,-2.769912404552444,13,93
contrary,-2.7655251258840665,92,399
let,-2.762679102676017,192,756
astop,-2.7575431911866577,9,75
intended,-2.7459823377871277,19,118
landlord',-2.7457606569604183,12,88
fridge,-2.7391145759977853,10,79
receipt,-2.738373062612347,6,61
present,-2.7376161640076577,164,656
edison,-2.7358862060057345,85,372
sat,-2.72537116027134,17,109
worried,-2.720357824857283,86,375
furnace,-2.71742667360206,7,65
rebuilding,-2.71742667360206,7,65
giant,-2.7074370027535575,15,100
presently,-2.6992193462740985,10,78
theyhave,-2.698274974617188,21,125
potty,-2.6977214230947792,6,60
expand,-2.6977214230947792,6,60
sprinkler,-2.6973954560068516,62,285
town,-2.693666244225981,22,129
four,-2.69291495359213,422,1541
sort,-2.6928155204548694,69,311
collect,-2.6797479867519267,28,153
thegarage,-2.6764165948119856,7,64
cutting,-2.668384126234314,102,431
swimming,-2.6673415667165346,12,86
halsey,-2.6564170907793403,6,59
utm,-2.6555457005626635,8,68
addresse,-2.648203352635296,26,144
suitcase,-2.6471052483003374,27,148
cave,-2.6423410672942755,11,81
residency,-2.6347945391671463,7,63
bed,-2.6268177257483076,151,604
undermining,-2.614261091427102,13,89
sharing,-2.6141085423469193,26,143
inthe,-2.6016069649804043,119,489
mercede,-2.5925424116557325,7,62
him,-2.585555327300916,310,1152
observe,-2.5799475300760144,29,154
laundromat,-2.579438788847845,28,150
pour,-2.5743460969803844,13,88
family',-2.571766009976962,6,57
bunch,-2.569615493369634,50,235
tearing,-2.569274607080531,38,189
discovered,-2.563008896115028,14,92
attach,-2.563008896115028,14,92
advertising,-2.552321161180437,47,223
observation,-2.5522262895401666,9,70
caved,-2.549641317618261,7,61
length,-2.548778958761415,23,129
entered,-2.548778958761415,23,129
bucket,-2.5477026938958804,30,157
lean,-2.546503368913744,12,83
threatening,-2.54528229946664,26,141
theconstruction,-2.5413204417127564,45,215
maximum,-2.5340140489172085,13,87
dealership,-2.528374536665229,6,56
blocking,-2.524942778399289,730,2556
disregard,-2.5211884589252174,20,116
creating,-2.5185470986409886,337,1239
agreement,-2.515229631830862,78,337
torn,-2.512764784971617,29,152
bis,-2.511580957151336,28,148
privacy,-2.511580957151336,28,148
placing,-2.507203703556084,38,187
bushwick,-2.5060715156662474,7,60
buzzer,-2.5060715156662474,7,60
separately,-2.5060715156662474,7,60
septic,-2.492317616998802,10,73
leading,-2.490900804026331,89,376
remove,-2.487659511864888,212,809
isposted,-2.484240788321459,6,55
larger,-2.478882572793477,29,151
