word,z,n_agency,n_caller
completing,-3.192267980117498,4,100
twofamily,-3.188509304384235,1,120
dragging,-3.188509304384235,1,120
independent,-3.187037820519668,6,112
fort,-3.1799880883667235,1,119
elevator',-3.1799880883667235,1,119
surrounded,-3.179269078167245,3,95
stadium,-3.179269078167245,3,95
disposition,-3.179269078167245,3,95
residentialproperty,-3.179269078167245,3,95
kicked,-3.17837870572942,10,139
slippery,-3.177528577467908,2,95
usa,-3.177528577467908,2,95
zip,-3.176724893094098,19,200
backup,-3.176724893094098,19,200
semi,-3.1748024227949103,32,284
sparking,-3.17193049714317,4,99
mercede,-3.1713955717017206,1,118
noone,-3.1713955717017206,1,118
planter,-3.170881163608154,7,118
continuou,-3.168778309453076,50,395
got,-3.1659547029604402,551,3131
thesecond,-3.1627305351482966,1,117
gallery,-3.1623399716654967,2,94
jammed,-3.1623399716654967,2,94
allegedly,-3.1623399716654967,2,94
shaving,-3.1623399716654967,2,94
encroache,-3.1606909137215173,3,94
alert,-3.15780260028991,11,145
nightly,-3.1539917280103413,1,116
paved,-3.1509237602768003,63,472
expiration,-3.1482469287368846,7,117
