term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,n
multi_prop_owner,0.2187144923812643,0.03222803075348725,6.786467781857823,1.149125239408022e-11,0.15554871281178,0.2818802719507486,ppml_n_ecb_2020on,ECB citations,458649
sg_chinese,-0.017991700177110288,0.044036209140721795,-0.4085660534406161,0.682858147063161,-0.10430108410859855,0.06831768375437798,ppml_n_viol_disp,disposition violations,458445
sg_indian,0.1671352671833171,0.09771927167085206,1.7103613680859084,0.087199070131601,-0.024390985887038197,0.3586615202536724,ppml_n_viol_disp,disposition violations,458445
sg_indo_caribbean,0.2794033810285455,0.06711123986345163,4.163287425430309,3.136980736817563e-05,0.1478677679383515,0.4109389941187395,ppml_n_viol_disp,disposition violations,458445
sg_korean,0.0057226030851469,0.1834382139254251,0.031196351963355712,0.9751129492114972,-0.3538096895970402,0.36525489576733394,ppml_n_viol_disp,disposition violations,458445
sg_muslim_sa,0.3955558042247375,0.05622160946717107,7.03565422572455,1.9833024111903796e-12,0.28536347451620603,0.505748133933269,ppml_n_viol_disp,disposition violations,458445
sg_nepali_himalayan,0.06189937121598793,0.18019744733309803,0.3435085908934431,0.7312158789890917,-0.2912811356629375,0.41507987809491337,ppml_n_viol_disp,disposition violations,458445
sg_sikh_punjabi,0.28532006992880266,0.13512180816934172,2.111576760216416,0.03472276762292692,0.020486192390962776,0.5501539474666426,ppml_n_viol_disp,disposition violations,458445
sg_singh,0.45933969479215064,0.08051188838459034,5.70524060493986,1.16178859865812e-08,0.30153929323104484,0.6171400963532565,ppml_n_viol_disp,disposition violations,458445
sg_vietnamese,-0.15804895019321785,0.14313510412070923,-1.1041941888688007,0.269508909918871,-0.4385885991931987,0.122490698806763,ppml_n_viol_disp,disposition violations,458445
sg_asian_small,-0.2925320779651285,0.4930772294101982,-0.5932784166793611,0.5529948406772023,-1.2589456892059112,0.6738815332756541,ppml_n_viol_disp,disposition violations,458445
asian_uncl,0.13745628278162225,0.04315261072325783,3.185352646752792,0.001445777109656321,0.05287871992515995,0.22203384563808454,ppml_n_viol_disp,disposition violations,458445
black_c,0.012630728165755244,0.04203467246547643,0.30048356332808374,0.7638083320668785,-0.06975571596851607,0.09501717230002654,ppml_n_viol_disp,disposition violations,458445
hisp_c,0.05509946509694139,0.03967385529282833,1.3888104569182487,0.16489039462230504,-0.02265986240485595,0.13285879259873873,ppml_n_viol_disp,disposition violations,458445
mixed_uncertain,0.031915899319969875,0.035940357385719414,0.888023983107396,0.37452785068701355,-0.03852590674753833,0.10235770538747807,ppml_n_viol_disp,disposition violations,458445
owner_occ_star,-0.14065126808513528,0.025224103053777404,-5.57606618500047,2.4601835679760597e-08,-0.1900896016128658,-0.09121293455740476,ppml_n_viol_disp,disposition violations,458445
era_pre1940,0.3152008507316149,0.04392008777358166,7.17668990910376,7.140954494389007e-13,0.22911906049755687,0.40128264096567295,ppml_n_viol_disp,disposition violations,458445
era_4079,0.05122644819278007,0.04631088459343463,1.1061427274062976,0.2686647474923496,-0.03954121770254269,0.14199411408810284,ppml_n_viol_disp,disposition violations,458445
era_8099,-0.2768117077679989,0.0784802290791314,-3.5271521377554906,0.00042005532424238545,-0.4306301302615495,-0.12299328527444828,ppml_n_viol_disp,disposition violations,458445
era_unknown,1.0920433090688146,0.25295847611791417,4.317085261692394,1.5810309907937636e-05,0.5962538062935674,1.5878328118440619,ppml_n_viol_disp,disposition violations,458445
com_class,0.2292002238279417,0.08257996274252218,2.775494396171744,0.005511784919010276,0.0673464710079387,0.3910539766479447,ppml_n_viol_disp,disposition violations,458445
log_bldgarea,0.9398075282802928,0.1321417594291662,7.112116051278029,1.1428635815491361e-12,0.680814438945371,1.1988006176152146,ppml_n_viol_disp,disposition violations,458445
mzone,0.02864019901244798,0.11966247477780825,0.23934152344440218,0.8108407698130125,-0.20589394185298887,0.2631743398778848,ppml_n_viol_disp,disposition violations,458445
multi_bldg,-0.013567775821030185,0.022526689435910317,-0.6022978147601875,0.5469759151854989,-0.05771927580633333,0.030583724164272956,ppml_n_viol_disp,disposition violations,458445
log2_area_per_unit,-0.2617813125354084,0.09136365576521453,-2.8652674889469347,0.004166571259461405,-0.44085078733114413,-0.08271183773967258,ppml_n_viol_disp,disposition violations,458445
value_rank,-0.2351201985770753,0.07869698894403489,-2.9876644803307566,0.0028111798248680042,-0.38936346259913057,-0.08087693455502007,ppml_n_viol_disp,disposition violations,458445
any_prior_viol,0.7484537171753466,0.023001880271833516,32.53880588587579,0.0,0.7033708602658505,0.7935365740848427,ppml_n_viol_disp,disposition violations,458445
geo_nyc_other,0.0665569440134453,0.020109935092765607,3.3096548400789536,0.0009341108349651961,0.027142195500186546,0.10597169252670405,ppml_n_viol_disp,disposition violations,458445
geo_outside_nyc,0.0783490400156396,0.0401940977138396,1.9492672922637226,0.051263512457933924,-0.0004299438945697537,0.15712802392584896,ppml_n_viol_disp,disposition violations,458445
geo_unknown,-0.4301978489741562,0.02361622664352126,-18.216197509781868,0.0,-0.47648480264619314,-0.38391089530211925,ppml_n_viol_disp,disposition violations,458445
multi_prop_owner,0.20193161486404798,0.02633458389940243,7.6679250234377205,1.7541523789077473e-14,0.15031677887337083,0.25354645085472516,ppml_n_viol_disp,disposition violations,458445
sg_chinese,-3.8734225140074616,0.6135688922419797,-6.312938225818428,3.375681956185872e-10,-5.076737010013118,-2.6701080180018053,lpm_viol100,violation | substantive,104390
sg_indian,-2.1918864123012334,1.699621246794804,-1.2896322733284005,0.19733020718649974,-5.525137021722312,1.1413641971198452,lpm_viol100,violation | substantive,104390
sg_indo_caribbean,-0.8446836432813287,1.522355836872789,-0.5548529606694785,0.5790584204469185,-3.83028618889636,2.140918902333702,lpm_viol100,violation | substantive,104390
sg_korean,-1.7881570027774873,2.6879755282316387,-0.66524303662611,0.5059731688368172,-7.059740942130749,3.483426936575774,lpm_viol100,violation | substantive,104390
sg_muslim_sa,-0.23070307978480195,1.1188417219563405,-0.20619813800061745,0.836657514280287,-2.424944801927118,1.963538642357514,lpm_viol100,violation | substantive,104390
sg_nepali_himalayan,-5.056802140505516,3.810832259657164,-1.3269547951607934,0.18467788449469724,-12.530501928536774,2.416897647525742,lpm_viol100,violation | substantive,104390
sg_sikh_punjabi,-0.11407963721304613,2.736227655267701,-0.04169230472962421,0.9667482263956781,-5.480294325712406,5.252135051286314,lpm_viol100,violation | substantive,104390
sg_singh,2.007868212382523,1.5933992985199552,1.2601161643836238,0.20777716268541147,-1.1170628231989492,5.132799247963995,lpm_viol100,violation | substantive,104390
sg_vietnamese,-2.171325938719844,3.2117838208015543,-0.6760498401719807,0.49908859999082456,-8.470188345979478,4.127536468539791,lpm_viol100,violation | substantive,104390
sg_asian_small,-16.01496703409866,4.720367784305757,-3.392737126828359,0.0007057109307968545,-25.272422966354597,-6.757511101842724,lpm_viol100,violation | substantive,104390
asian_uncl,-0.2610755166746628,0.7054357191883002,-0.3700911501547805,0.7113544804128462,-1.644556715986643,1.1224056826373174,lpm_viol100,violation | substantive,104390
black_c,-0.3383770162550523,0.7913786464293165,-0.42757915920754513,0.6690044170081269,-1.890407129121615,1.2136530966115102,lpm_viol100,violation | substantive,104390
hisp_c,-0.21876020258784873,0.7095659395809053,-0.3083014423114168,0.7578856634393867,-1.6103414769410516,1.172821071765354,lpm_viol100,violation | substantive,104390
mixed_uncertain,-0.358093136803164,0.6227065932130105,-0.5750591702514227,0.5653171495614937,-1.579328241525518,0.8631419679191902,lpm_viol100,violation | substantive,104390
owner_occ_star,-1.7775040809731442,0.48355474455901154,-3.6759107442822807,0.00024336319696627307,-2.7258383937086297,-0.8291697682376589,lpm_viol100,violation | substantive,104390
era_pre1940,2.483918357654811,0.6611797475318354,3.756797401806703,0.00017711875340054029,1.1872307570770335,3.780605958232589,lpm_viol100,violation | substantive,104390
era_4079,1.466955302846002,0.725869675228949,2.0209623750755323,0.0434191013835068,0.04339958895977625,2.890511016732228,lpm_viol100,violation | substantive,104390
era_8099,-0.4188814580853648,1.1432449910631624,-0.3663969327307749,0.714108373519319,-2.660982202804374,1.8232192866336445,lpm_viol100,violation | substantive,104390
era_unknown,-0.4932092362303601,3.8301858616665285,-0.12876900861823004,0.8975536133605173,-8.004864778117874,7.018446305657154,lpm_viol100,violation | substantive,104390
com_class,3.9822591957014617,1.5590687282732885,2.5542550648885913,0.010716405847863486,0.9246563336246894,7.039862057778234,lpm_viol100,violation | substantive,104390
log_bldgarea,4.5998676939626595,2.669831987186631,1.722905304917643,0.08506306102617311,-0.6361336299347311,9.83586901786005,lpm_viol100,violation | substantive,104390
mzone,2.253010024256452,1.9393441057898178,1.1617381451441238,0.24548300835390258,-1.5503784863847816,6.056398534897686,lpm_viol100,violation | substantive,104390
multi_bldg,-1.1416657759580522,0.39035025182488947,-2.9247215049068336,0.003487164794041986,-1.9072099919042247,-0.3761215600118797,lpm_viol100,violation | substantive,104390
log2_area_per_unit,-4.0296048117830825,1.8399643697042336,-2.1900450237690334,0.028638209173043494,-7.638092507612737,-0.42111711595342793,lpm_viol100,violation | substantive,104390
value_rank,-0.9161405421254821,1.1126884690757621,-0.8233576311673837,0.41040461308423004,-3.0983146733543587,1.2660335891033943,lpm_viol100,violation | substantive,104390
any_prior_viol,4.201784407732652,0.39849542836881,10.544121986372888,0.0,3.420266094775122,4.983302720690182,lpm_viol100,violation | substantive,104390
geo_nyc_other,-0.17217453605415922,0.3800762954734236,-0.4529999321312537,0.6505988290497262,-0.9175697503717214,0.573220678263403,lpm_viol100,violation | substantive,104390
geo_outside_nyc,-0.8103539636378481,0.7442389926400648,-1.0888356719435666,0.276359944922822,-2.269935079401533,0.649227152125837,lpm_viol100,violation | substantive,104390
geo_unknown,-0.9551585998377127,0.4557947560440874,-2.0955892694503127,0.03624637800763808,-1.8490507838875332,-0.06126641578789227,lpm_viol100,violation | substantive,104390
multi_prop_owner,1.0303012711044353,0.47717963509706246,2.1591476151216367,0.03095946066063715,0.09446964832957583,1.9661328938792946,lpm_viol100,violation | substantive,104390
sg_chinese,2.8846100319100882,0.5161366136442845,5.588849842569255,2.601151338765817e-08,1.8723839648592977,3.896836098960879,lpm_noacc100,no access,179655
sg_indian,1.7415148420924573,1.2908271949713241,1.3491463837118378,0.17744374407212482,-0.7900027837982091,4.273032467983124,lpm_noacc100,no access,179655
sg_indo_caribbean,2.3644531331067085,0.9061081729349055,2.6094601105386674,0.00913661878377181,0.5874307557626526,4.141475510450764,lpm_noacc100,no access,179655
sg_korean,-1.9960709390691056,1.900226568448746,-1.0504383909854509,0.29364440426544025,-5.722717751248021,1.7305758731098106,lpm_noacc100,no access,179655
sg_muslim_sa,2.301615171248088,0.6774508736239151,3.397464319347565,0.0006935496892155335,0.9730261595391507,3.6302041829570255,lpm_noacc100,no access,179655
sg_nepali_himalayan,-0.8894389537800558,3.429751621777897,-0.2593304273500111,0.7954071820957225,-7.6157278922081995,5.8368499846480875,lpm_noacc100,no access,179655
sg_sikh_punjabi,0.74553042437726,2.2158422719463293,0.3364546447263182,0.7365635941173077,-3.600089027613265,5.091149876367785,lpm_noacc100,no access,179655
sg_singh,0.33913084376693275,1.0338781014201421,0.32801820959463235,0.7429324713266814,-1.688468703998724,2.3667303915325895,lpm_noacc100,no access,179655
sg_vietnamese,1.4866080321824713,2.547956457109261,0.5834511135520252,0.5596559077997831,-3.5103402086835906,6.483556273048533,lpm_noacc100,no access,179655
sg_asian_small,-11.672003305016085,4.223399610702002,-2.763651176990092,0.005768607968027695,-19.95476229655516,-3.3892443134770094,lpm_noacc100,no access,179655
asian_uncl,1.5501408810156725,0.5537731081345525,2.799234665326198,0.005171897872961795,0.4641036566310246,2.6361781054003206,lpm_noacc100,no access,179655
black_c,-1.490163303411928,0.5808022389081698,-2.5656982765996816,0.01036963295714699,-2.6292089562155603,-0.35111765060829536,lpm_noacc100,no access,179655
hisp_c,-1.7946201332019196,0.5620072138615595,-3.193233269856199,0.001428920582227322,-2.8968057497668456,-0.6924345166369934,lpm_noacc100,no access,179655
mixed_uncertain,-0.2010384386206131,0.48892041243451967,-0.41118847466311886,0.680978703513484,-1.1598892023459748,0.7578123251047487,lpm_noacc100,no access,179655
owner_occ_star,-0.19033344927300783,0.36427376441539155,-0.5225011182961979,0.6013797456281473,-0.9047322927894663,0.5240653942434506,lpm_noacc100,no access,179655
era_pre1940,3.849283002602926,0.5036097302863838,7.643384889354669,3.26405569239796e-14,2.861624148066361,4.836941857139491,lpm_noacc100,no access,179655
era_4079,2.891040620512356,0.5429582786569072,5.324609153513232,1.1262077803664283e-07,1.8262129984279365,3.9558682425967753,lpm_noacc100,no access,179655
era_8099,2.1512722673540705,0.9347252168434816,2.3015023330800948,0.021466327313084843,0.3181273111414644,3.984417223566677,lpm_noacc100,no access,179655
era_unknown,3.2356198415697306,2.843037944523041,1.1380853526077546,0.25522211754299606,-2.340030172370312,8.811269855509773,lpm_noacc100,no access,179655
